ship_name,mmsi,callsign,imo,ship_type,tonnage_t,draft_m,length_m,width_m,sog_kn,cog_deg,heading_deg,lng,lat,destination,position_label,nav_status,cargo_type,eta,ais_update_time,ais_source
兴泰77,412770456,XINGTAI 77,9424393,货船,10862,9.1,112.6,24.8,13.0,,,122.094,30.0459,宁波北仑山附近水域,北仑山模拟AIS,航行中,大件运输船,,2026-05-08,simulated_beilun_xlsx
江丰9,413556636,JIANGFENG 9,9024973,港作船,12195,9.6,141.3,22.8,8.6,,,121.9244,30.0196,宁波北仑山附近水域,北仑山模拟AIS,航行中,供水船,,2026-05-08,simulated_beilun_xlsx
捷卓258,413834461,JIEZHUO 258,9342512,港作船,14969,8.5,122.4,23.9,9.2,,,121.8919,29.8316,宁波北仑山附近水域,北仑山模拟AIS,航行中,供水船,,2026-05-08,simulated_beilun_xlsx
锦华996,632792633,JINHUA 996,9363926,工程船,5471,7.0,97.9,22.4,11.1,,,121.861,30.066,宁波北仑山附近水域,北仑山模拟AIS,航行中,挖泥船,,2026-05-08,simulated_beilun_xlsx
金达99,356596207,JINDA 99,9022170,多用途船,8196,9.6,138.6,24.5,12.4,,,122.1883,29.8057,宁波北仑山附近水域,北仑山模拟AIS,航行中,多用途船,,2026-05-08,simulated_beilun_xlsx
银鑫001,413594458,YINXIN 001,9316096,工程船,3818,8.2,145.5,22.6,19.7,,,122.1073,30.0939,宁波北仑山附近水域,北仑山模拟AIS,航行中,工程船,,2026-05-08,simulated_beilun_xlsx
甬舟通顺,412182959,YONGZHOUTONGSHUN,9498897,散货船,39407,11.1,277.3,43.0,17.2,,,122.1754,30.0482,宁波北仑山附近水域,北仑山模拟AIS,航行中,散货船,,2026-05-08,simulated_beilun_xlsx
昌汇288,413226925,CHANGHUI 288,9595804,拖船,2319,5.9,77.6,14.6,8.9,,,122.1656,30.0947,宁波北仑山附近水域,北仑山模拟AIS,航行中,港作拖船,,2026-05-08,simulated_beilun_xlsx
舟池128,413974189,ZHOUCHI 128,9015774,油船,32119,10.5,247.0,33.4,14.1,,,121.9984,30.0251,宁波北仑山附近水域,北仑山模拟AIS,航行中,成品油船,,2026-05-08,simulated_beilun_xlsx
大润28,413704048,DARUN 28,9405930,滚装船,9148,8.0,121.6,19.4,11.4,,,122.0911,29.9381,宁波北仑山附近水域,北仑山模拟AIS,航行中,滚装船,,2026-05-08,simulated_beilun_xlsx
浙岱82276,413814262,ZHEDAI 82276,9263706,港作船,14758,9.4,120.2,23.8,17.6,,,121.9442,30.0266,宁波北仑山附近水域,北仑山模拟AIS,航行中,供水船,,2026-05-08,simulated_beilun_xlsx
长江之源,306413750,CHANGJIANGZHIYUAN,9654795,集装箱船,11576,9.4,89.9,19.7,14.9,,,121.8714,29.829,宁波北仑山附近水域,北仑山模拟AIS,航行中,集装箱支线船,,2026-05-08,simulated_beilun_xlsx
港盛兴,412479100,GANGSHENGXING,9376628,工程船,8623,6.8,87.6,19.4,20.5,,,122.1671,29.9503,宁波北仑山附近水域,北仑山模拟AIS,航行中,挖泥船,,2026-05-08,simulated_beilun_xlsx
江丰16,306313783,JIANGFENG 16,9991040,散货船,75734,14.6,191.5,33.4,12.1,,,122.0093,29.9454,宁波北仑山附近水域,北仑山模拟AIS,航行中,散货船,,2026-05-08,simulated_beilun_xlsx
江海润强,306645750,JIANGHAIRUNQIANG,9464046,港作船,1473,4.4,62.5,17.3,21.8,,,121.8032,29.9818,宁波北仑山附近水域,北仑山模拟AIS,航行中,供油船,,2026-05-08,simulated_beilun_xlsx
